,Season,Episode,Character,Line,Processed Line
688,10,3,Kyle,Off the air? But... we're just going to try to get the Mohammad episode pulled.,off the air but  were just going to try to get the mohammad episode pulled
689,10,3,Cartman,"It's simple television economics, Kyle. All it takes to kill a show forever is get one episode pulled. If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled. And then people with disabilities can demand another show get pulled. And so on and so on, until Family Guy is no more! It's exactly what happened to Laverne & Shirley.",its simple television economics kyle all it takes to kill a show forever is get one episode pulled if we convince the network to pull this episode for the sake of muslims then the catholics can demand a show they dont like get pulled and then people with disabilities can demand another show get pulled and so on and so on until family guy is no more its exactly what happened to laverne  shirley
690,10,3,Kyle,Whoa whoa wait a minute!  This isn't what I signed up for! I like Family Guy. Why do we have to get it off the air forever?,whoa whoa wait a minute  this isnt what i signed up for i like family guy why do we have to get it off the air forever
691,10,3,Cartman,"Because they made f-fun of Muslims, and and that's wrong.",because they made ffun of muslims and and thats wrong
692,10,3,Kyle,But that doesn't mean it has to go off the air. You should like that show. Your sense of humor is just like Family Guy.,but that doesnt mean it has to go off the air you should like that show your sense of humor is just like family guy
693,10,3,Cartman,"Don't you EVER, EVER, compare me to Family Guy! You hear me Kyle??!! Compare me to Family Guy again, and so help me I will kill you where you stand!",dont you ever ever compare me to family guy you hear me kyle compare me to family guy again and so help me i will kill you where you stand
694,10,3,Kyle,You unbelievable son of a bitch. You never cared about the Muslim religion. Or the safety of people in America. You just want Family Guy off the air!,you unbelievable son of a bitch you never cared about the muslim religion or the safety of people in america you just want family guy off the air
695,10,3,Cartman,"Do you have any idea what it's like?! Everywhere I go, ""Hey Cartman, you must like Family Guy, right?"" ""Hey, your sense of humor reminds me of Family Guy, Cartman.""  I am NOTHING like Family Guy! When I make jokes, they are inherent to a story! Deep, situational and emotional jokes based on what is relevant and has a POINT! Not just one interchangeable joke after another!!",do you have any idea what its like everywhere i go hey cartman you must like family guy right hey your sense of humor reminds me of family guy cartman  i am nothing like family guy when i make jokes they are inherent to a story deep situational and emotional jokes based on what is relevant and has a point not just one interchangeable joke after another
696,10,3,Kyle,What are you talking about?!,what are you talking about
698,10,3,Kyle,I can't believe I let you scare me into taking your side. You used fear to make me stop believing in free speech.,i cant believe i let you scare me into taking your side you used fear to make me stop believing in free speech
699,10,3,Cartman,Well... I guess you won't be helping me now. No biggie. I don't NEED you to get the episode pulled!,well  i guess you wont be helping me now no biggie i dont need you to get the episode pulled
700,10,3,Kyle,No!  I am NOT letting you go to that television studio and pretend... to care about safety and sensitivity to get a show you don't like off the air!,no  i am not letting you go to that television studio and pretend  to care about safety and sensitivity to get a show you dont like off the air
701,10,3,Cartman,"Well then Kyle, I guess we- ...Oh my God, is that Tim McGraw?",well then kyle i guess we  oh my god is that tim mcgraw
708,10,3,Stan,"Dad, I don't wanna bury my head in the sand.",dad i dont wanna bury my head in the sand
709,10,3,Randy,"It's the best say, Stanley. Did you eat your Fruit Roll-Up?",its the best say stanley did you eat your fruit rollup
711,10,3,Randy,"All right, make sure your snorkel is working.  All right, now get your head in the hole.",all right make sure your snorkel is working  all right now get your head in the hole
712,10,3,Stan,"Dad, this is stupid.",dad this is stupid
713,10,3,Randy,"Stanley, there's no time for your immaturity! Do it!  All right Sharon, now do me.",stanley theres no time for your immaturity do it  all right sharon now do me
723,10,3,Kyle,No!  AAAAH!  AAAAH!,no  aaaah  aaaah
724,10,3,Cartman,"Hahahaha! So long, Kyle!",hahahaha so long kyle
725,10,3,Kyle,You son of a bitch! I won't let you win! You hear me?!,you son of a bitch i wont let you win you hear me
726,10,3,Cartman,"Suck mah balls, Kyle!",suck mah balls kyle
738,10,3,Cartman,"Kyle, quit it! Stop it, Kyle!",kyle quit it stop it kyle
743,10,4,Cartman,I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.,im gonna do whatever i can  to get that episode pulled before this gets out of hand
744,10,4,Kyle,You just want Family Guy off the air...,you just want family guy off the air 
747,10,4,Kyle,You son of a bitch! I won't let you win!,you son of a bitch i wont let you win
765,10,4,Cartman,"Ma'am, I need to speak to the president of this network right away.",maam i need to speak to the president of this network right away
767,10,4,Cartman,"It's regarding Family Guy. I demand that the Mohammad episode be pulled before it airs tonight! It's incendiary, it's offensive to Muslims, and people can get hurt! It's wrong! It's WROOONG!",its regarding family guy i demand that the mohammad episode be pulled before it airs tonight its incendiary its offensive to muslims and people can get hurt its wrong its wrooong
769,10,4,Cartman,"Dude, can I go before you?",dude can i go before you
771,10,4,Kyle,"What the hell is going on?  Hello?  Excuse me, I need to get to Los Angeles.  Hello?!",what the hell is going on  hello  excuse me i need to get to los angeles  hello
780,10,4,Cartman,"So... you don't like Family Guy either, huh?",so  you dont like family guy either huh
782,10,4,Cartman,So what's your plan? You're gonna ask the president of the network nicely to take it off the air?,so whats your plan youre gonna ask the president of the network nicely to take it off the air
784,10,4,Cartman,"Look, kid, if you hate a TV show, all you have to do is get an episode pulled. Pretty soon the show is compromised and it goes off the air.",look kid if you hate a tv show all you have to do is get an episode pulled pretty soon the show is compromised and it goes off the air
786,10,4,Cartman,Yes. So my plan is to use this whole Mohammad thing as a way to scare the network into pulling tonight's show. I'm going to use fear to get them to do what I want.,yes so my plan is to use this whole mohammad thing as a way to scare the network into pulling tonights show im going to use fear to get them to do what i want
788,10,4,Cartman,"...No, it isn't like terrorism. It IS terrorism.", no it isnt like terrorism it is terrorism
790,10,4,Cartman,This is manipulation at its highest lever; you should let me handle this.,this is manipulation at its highest lever you should let me handle this
792,10,4,Cartman,Really? What's the worst thing you've ever done?,really whats the worst thing youve ever done
794,10,4,Cartman,"Wow, that's pretty hardcore. Geez. That's like this one time, when I didn't like a kid, so I ground his parents up into chili and fed it to him.",wow thats pretty hardcore geez thats like this one time when i didnt like a kid so i ground his parents up into chili and fed it to him
820,10,4,Cartman,"Hello, gentlemen, ladies. My name is little Danny Pocket. And I won't take much of your time. Please excuse my tiny crutch; it's the only way I can get around these days. Ow...",hello gentlemen ladies my name is little danny pocket and i wont take much of your time please excuse my tiny crutch its the only way i can get around these days ow 
822,10,4,Cartman,"You see, my father worked for a newspaper in my native country of Denmark. His newspaper showed an image of Mohammad and, two days later, terrorists suicides bombed his building. I was in the lobby when it happened.  First one terrorist suicide bombed us and, then dozens more. They just kept coming. Suicide bombers running in the building and blowing up one after another! They were like Mexican jumping beans. I just don't wanna see people here at your studio getting hurt, because... that would be, of course, your responsibility.  Ow..",you see my father worked for a newspaper in my native country of denmark his newspaper showed an image of mohammad and two days later terrorists suicides bombed his building i was in the lobby when it happened  first one terrorist suicide bombed us and then dozens more they just kept coming suicide bombers running in the building and blowing up one after another they were like mexican jumping beans i just dont wanna see people here at your studio getting hurt because  that would be of course your responsibility  ow 
