Character,Line
Stan,"It's neither. I know this might be hard for you to grasp right now, but this is all actually real."
Cartman,You guys can't scare me! I know you're making it all up.
Stan,"Dad, I like being in a boy band. I think it's interesting."
Stan,"Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??"
Cartman,"Just enough power to force you to stop me from selling my book! Face it, you're a lackey, Mackey!"
Kyle,You are up there!
Stan,Cartman says we can make $10 million dollars.
Cartman,"Well, guys, it seems that I am the first one of us to reach manhood after all."
Butters,"Sing your Song, earn your pay"
Kyle,"Okay, okay, you can have your powers back."
Stan,"Oh uh, hey Nelson."
Cartman,"No, you CAN'T go.  Hey, Clyde, Butters, check this out"
Cartman,"No! My Tourette's has gotten worse! Before I just blurted out cool stuff about Jews being lame and stuff. But now it's gotten really bad.  So ah I'm sorry, but I'm not doin' the show, that's it. Goodbye."
Butters,No!  T-Teacherrr! Teacherrr!
Cartman,"Well, the school put the sizes of all our penises up on a big chart in the school hallway!"
Stan,Pry his mouth open!
Cartman,"He's a little wuss, what's it look like?"
Cartman,"Oh, well, well, well. Look what the cat threw up in the litter box. Come on, guys. We don't wanna be seen hanging around him."
Cartman,"Bobo?! Bobo, no!  Wha-"
Kyle,"Yeah. Look what he did to our friend, Kenny."
Kyle,Ready to go Stan?
Kyle,They never grow old because they die before they're 30!
Stan,Doesn't look like she's having any trouble finding food.
Kyle,"Uuuh, okay.  Gah!"
Cartman,I hope I can adjust to life outside of the big house.
Kyle,"No, no, no! Don't become an angry mob!  The last time we did that we killed Jesus!"
Stan,"Yeah, and then you can actually hold it like this. Now-"
Kyle,"Dude, don't forget: Timmy is the only kid who can play Helen Keller. Don't piss him off."
Kyle,"I think Stan might've been right. Anyway, I think it's going too far. I mean, if I kill myself, it's gonna make my family really sad."
Kyle,What are you doing?
Stan,"The chick that wrote the theme song to the new Hunger Games, is you?"
Stan,"Yeah, yeah I've listened to it. Um, Kyle, can I talk to you alone for a second?"
Stan,"Cartman, will you just shut up and let him show us?"
Kyle,"Love ...is the most important thing on... earth. When boys and girls feel ...love, they kiss."
Stan,"But if life is only pain, then... what's the point of living?"
Cartman,Could you please use it in a sentence?
Stan,"Are you sure you're okay with this, Kyle?"
Stan,"Alright, this looks like the perfect place to get some signatures."
Randy,"Yeah, thanks Stan, I know that."
Cartman,"Give, give me the chicken. G-give me some chicken."
Cartman,"Alright, just what the hell do you guys think you're doing?!"
Kyle,I guess I didn't realize it was just about the points.
Stan,"Where have you been, Cartman?"
Cartman,"Oh I will! And maybe I'll also have a word with the ACLU, tell them that a student is being told not to speak out against his school! I'm sure they'll find that very interesting!"
Kyle,"All right, fine, Cartman! You really want me to go in there, I'll...  Dude, Cartman, what is that behind you?"
Stan,"Alright, we're gonna have to use this truck. Come on, guys."
Randy,"You need to shape up, mister."
Randy,You said the N-word to a black man's face! That's way worse than what I did!
Stan,"Hey, I have a great idea! Why don't we see if Jimmy wants to come be in our Scout club?"
Kyle,This is how I look natural.
Butters,"Oh no, my Dad?"
Butters,How far away is June?
Cartman,"Uhh yes, of course?"
Kyle,"Cartman, I thought all you wanted was a Haibo doll!"
Randy,"No no. ...Wuh what's there to regret, right? I mean..., all we did was watch each other ...masturbate. That's that's not gay or anything. We said so, right?"
Stan,"We're playing what I want, and I'll select a different song!"
Cartman,"What's it look like I'm doing? I'm trending, Kyle. I'm trending more than I ecer thought possible."
Cartman,"What's the score, ese? Okay, let's go, your turn.  That's two to nothing, amigoo."
Stan,"Boy, I'm sure glad that's over with."
Mr. Garrison,Children! Children! A certain student's mother called me last night.
Cartman,"Ooo, ouch, ma'am, please, let go of that tight grip you have on my balls! Ten dollars, you're breaking my balls, ma'am!"
Stan,"No, we're not leaving you here, Kyle!"
Butters,"It's okay, buddy, you've got a smokey on your tail, bug Big Rig Butters is here to help! Vroovrooom."
Cartman,I can't believe I got a stupid shirt!  The holidays are bullcrap!
Cartman,We can't go to my house either. It's being fumigated.
Cartman,"Yeah, I have some pubes to sell."
Cartman,"My mom made it, isn't it cool?"
Kyle,"Cartman, we should probably talk about our chances."
Cartman,Yes there is! The French experimented with it in World War II!
Stan,"Wait. A drop box.  Quick, Kyle, drop the movie in!"
Stan,Have you confessed all your sins yet?
Kyle,"You dumbass, Cartman! Now they're gonna go squeeze his balls!"
Cartman,"...And that's what I got, Principal brah. These two were in the hallway making out. She had those love letters on her person."
Stan,"Well dude, what are we supposed to do?"
Kyle,Yeah. And now you can take that stupid beard off!
Kyle,"Just let it go with your fucking balls, you fucking asshole!! Your friends have been in danger and all you care about it this stupid bet! Well I've decided, Cartman, even if we had a bet, that I am never sucking your balls,  you got that?! They can throw me in jail for the rest of my life, but I am  never going to suck your balls,  never! So  there!"
Kyle,"Come on, dude. We've gotta get out of here. I don't know what they're planning next, but it can't be good!"
Kyle,Cool. Cool... You wanna order some dessert?
Cartman,Thank you. The Latino culture has been very influential on the arts in America. But you don't have to ask me. You can ask my special guest. Miss Jennifer Lopez.
Cartman,"Yeah we like hardcore stuff, we're fuckin' dudes, bro."
Stan,"Whoa, Cartman! Looks like you didn't get much sleep last night."
Cartman,"Kenny? Kenny?  Kenny?  Wanna look at Playboy?  Wanna, wanna get high sniffin' paint? Kenny?"
Butters,He says he's not payin' us to scratch our buttholes.
Cartman,"It's regarding Family Guy. I demand that the Mohammad episode be pulled before it airs tonight! It's incendiary, it's offensive to Muslims, and people can get hurt! It's wrong! It's WROOONG!"
Butters,I gotta do this! I gotta know what it feels like!
Cartman,"Oh wow, poor people being arrested. What a rare occurrence.  Hi, Kenny! Kenny, wave!  That's Kenny, about to be sent to a foster home. Pretty funny."
Cartman,"Alright, guys. Let's do it like we rehearsed! We need energy! We need to be up!"
Cartman,"Two donuts and a pack of licorice.  Well, Tony, the usual?  Why are you crying, Chad?"
Cartman,"C, H. ""Ch."" Chalk."
Kyle,We can't be outdone by the kindergartners!
Cartman,"Damn, Pip. I didn't know you had it in you."
Randy,At least we're smart enough to know better!
Kyle,We can't. Kenny just checked. There's a wall of people like seven miles thick behind us.
Butters,"Yeah, ahh, that's right!"
Kyle,"Well, everyone in the world thinks you are. See ya."
Stan,"Members, this is our darkest hour. We've just learned that George Lucas and Steven Spielberg now intend to update and change Raiders of the Lost Ark.  There's only one way we can stop this important and historical piece of art from being harmed. Mr. Secretary?"
Stan,"Uh police. Open up. ...Oh crap, did you guys do your math homework?"
Cartman,Oh. We don't know him.
Stan,"Dude, where are people getting all the brown wristbands?"
Cartman,That's more like it.
Cartman,"All right, hit one out of the park!"
Cartman,Attention mall shoppers: the next twenty people to buy an orange smoothie will also receive a complimentary Nissan Sentra. Hurry up.
Kyle,There's no such thing as Mr. Hankey.
Stan,"Dude, Butters, calm down."
Cartman,"No, they won't! Fuck you Butters, you're an asshole!"
Cartman,Why didn't anyone tell me there was a time phone?!
Cartman,"O-ho no! We have a deal, Kyle! If I can prove there's a leprechaun, you have to suck my balls, remember?!  Dragon Wind to Blackie: What's your six, Blackie?"
Stan,"Dad, you just need to not drink so much. It's very simple."
Stan,"Damn, dude. Look at all these people."
Cartman,"Oh, come on, it'll make you a happy person."
Stan,"What are you talking about, Cartman?! We're only $167 away from gettin' a Sega!"
Kyle,That's a towel call?
Randy,Yeah. Yeah I will. Yup.
Randy,"Hoho, Stan, you're so young. You just don't get it.  Well, anyway, have a nice day."
Stan,He hits this switch-
Butters,"Oh boy, I sure am nervous."
Randy,I came because I wanted to make sure nobody was shopping here.
Stan,Everyone loved me sixteen hours ago.
Stan,We've come to... ask you for help.
Cartman,"Day one. It has happened. The Mayans were right. The only thing they got wrong was the date. It is 2009, and I appear to be the last of my species alive. Now it's just me, all alone, with minorities. What will the minorities do with me? I'm sure that's what on all of their minds. I have to make myself seem useful to them or they will surely not let me live.  Does anyone need medical help? I am a doctor."
Stan,"No. No, Butters, that doesn't sound stupid at all."
Kyle,"All right, Kenny, let's go!  Kenny?  Kenny!  Don't worry, Kenny. You didn't die for nothing.  We're gonna get Wing back as our client and... and make a ton of money! I swear it to you!"
Cartman,"Because, because what? Because he's cute?"
Cartman,"I'm pretty sure that this cow could make ginger cheese, which is like a Swiss cheese, except instead of holes, it has freckles."
Cartman,NO. I've got dry balls. And I'm running out of time.
Kyle,You're in a forest! Go take a crap!
Stan,"We're just gonna have to carry them one by one.  Come on, you guys."
Cartman,"Here, talk to them, Butters."
Kyle,We believe that films are pieces of art that must be preserved from the perverse hands of their agent filmmakers..
Stan,"Yeah, what a dick. Timmy's five times more talented than he is."
Stan,"Wait a minute, you didn't want me to vote, you wanted me to vote for your guy!"
Butters,It wantses to stay with the Butter kid.
Kyle,"Oh, dude, I don't know how I can take it."
Cartman,"Not so fast, Kyle."
Butters,"Uh-wait. I thought... yoyou said we needed him because he has the ""Mission Impossible Breaking and Entering playset."""
Randy,"Will you relax, Stan?"
Cartman,But we don't have to lose.
Butters,"Equipment is flying in, ten seconds."
Kyle,Hey!  Dude. You're alive?  Come back here!
Kyle,You son of a bitch! I won't let you win! You hear me?!
Stan,It was my mom's credit card.
Randy,I can get him! Wait! Where's he going now?
Stan,"That's true dude, didn't you see The Abyss?"
Cartman,Hey! That was Kyle that went #2 in the urinal!
Cartman,And we're just gonna let him stand around here?! He's one of them. He could even be a spy!
Kyle,"Who, Jimmy?! Who pays you?!"
Mr. Garrison,A succubus is a woman sent from Hell to suck the life out of a man.
Cartman,"No, I guess you guys will blossom into maturity someday. Just don't take too long."
Kyle,"I know! But that doesn't matter any more! These kids don't wanna play the game, they just wanna watch people on YouTube play it. And you know why? Commentary."
Stan,We can't let our party suck.
Stan,So this is normal?
Kyle,Aaaaa! There's a dude here!
Kyle,We came on our own 'cause our friend's purity ring is killing him.
Cartman,"'Cause you tricked me, you black asshole!"
Cartman,"And while they're gone, we're gonna smear all their walls with poop."
Stan,"Well, it was nine, actually. One of the women was pregnant."
Kyle,We've gotta keep this away from him.
Randy,"Why, why would we punch trees?"
Randy,I'm flying free with my beautiful butterfly wings!
Cartman,"That dollar buys me a chocolate milk for lunch! What, do you want me to just get a regular milk for ten cents?  Now look, it isn't our fault that terrorists hate us. We're just kids. We're not the ones bombing them now, we're- we're just kids.  There's a lot of crazy stuff goin' on in the world, but, we're caught in the middle. It's not our fault."
